City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,dryden,49.7833,-92.7503,-5.84,86,100,1.54,CA,1702250041
307,koulamoutou,-1.1303,12.4736,22.8,99,100,0.78,GA,1702250042
308,urzhar,47.093,81.6294,-6.63,58,100,0.91,KZ,1702250042
309,isna,25.2934,32.554,21.1,51,55,1.75,EG,1702250043
310,kone,-21.0595,164.8658,29.34,41,96,2.56,NC,1702250023
311,yigou,35.8114,114.3167,-3.7,93,100,5.88,CN,1702250044
312,cole harbour,44.6724,-63.4751,7.06,96,97,3.33,CA,1702250044
313,port lincoln,-34.7333,135.8667,17.2,92,100,8.28,AU,1702250045
314,puerto aysen,-45.4,-72.7,12.36,99,100,2.23,CL,1702250016
315,harstad,68.799,16.5293,-1.58,81,83,3.78,NO,1702250046
316,constitucion,-35.3333,-72.4167,15.15,77,46,4.72,CL,1702250047
317,ponta delgada,37.7333,-25.6667,18.44,88,20,5.66,PT,1702250047
318,gazli,40.1333,63.45,1.3,50,93,4.99,UZ,1702250048
319,choibalsan,48.0667,114.5,-24.75,87,100,1.06,MN,1702250048
320,san juan del sur,11.2529,-85.8705,27.12,94,75,2.06,NI,1702250049
321,koungheul,13.9833,-14.8,26.43,14,28,3.61,SN,1702250049
322,chicoana,-25.1009,-65.5331,18.03,80,100,0.76,AR,1702250050
323,utrik,11.2278,169.8474,27.32,77,63,9.53,MH,1702250050
324,lubuklinggau,-3.3,102.8667,22.4,96,99,1.22,ID,1702250051
325,winnemucca,40.973,-117.7357,7.03,33,0,0.0,US,1702250051
326,changling,44.2653,124.0005,-16.24,79,100,3.34,CN,1702250052
327,ciudad lazaro cardenas,17.9583,-102.2,27.91,66,100,1.53,MX,1702250052
328,juva,56.4368,57.9478,-27.57,98,23,1.97,RU,1702250053
329,carnarvon,-24.8667,113.6333,26.13,24,0,8.88,AU,1702250054
330,kristiansund,63.1115,7.732,1.36,75,75,2.57,NO,1702249765
331,amga,60.8953,131.9608,-27.6,91,100,3.93,RU,1702250055
332,faaa,-17.55,-149.6,30.98,66,20,4.63,PF,1702250056
333,tucuma,-0.1833,-50.05,26.51,82,40,4.05,BR,1702249792
334,aktau,43.65,51.2,-2.68,93,100,5.44,KZ,1702250057
335,mount isa,-20.7333,139.5,24.87,50,78,6.17,AU,1702250057
336,nuku'alofa,-21.1333,-175.2,28.19,61,40,3.6,TO,1702250024
337,tigpalay,7.4939,122.3431,26.09,84,24,0.84,PH,1702250058
338,sandakan,5.8402,118.1179,24.82,100,20,2.06,MY,1702250059
339,sao jose da coroa grande,-8.8978,-35.1478,26.08,75,52,4.66,BR,1702249838
340,achinsk,56.2694,90.4993,-36.56,100,35,1.34,RU,1702250060
341,betio village,1.358,172.9211,31.02,75,56,3.11,KI,1702250061
342,fabero,42.7738,-6.6182,12.35,86,100,0.89,ES,1702250061
343,banes,20.9625,-75.7186,25.98,82,43,7.59,CU,1702250063
344,shingu,33.7333,135.9833,14.13,74,93,1.78,JP,1702249785
345,vorkuta,67.5,64.0,-24.62,100,100,3.16,RU,1702250064
346,hermanus,-34.4187,19.2345,16.55,80,0,4.06,ZA,1702250065
347,swakopmund,-22.6833,14.5333,17.21,79,51,2.24,NA,1702250065
348,panama city beach,30.1766,-85.8055,13.01,85,100,7.72,US,1702250066
349,bella vista,36.4295,-94.2316,6.38,44,0,2.06,US,1702250066
350,talakan,50.3167,130.3667,-26.71,95,22,2.29,RU,1702249926
351,nsanje,-16.92,35.262,28.74,55,80,0.95,MW,1702250067
352,lamar,33.6668,-95.5836,8.88,36,0,2.06,US,1702250068
353,qaqortoq,60.7167,-46.0333,-9.61,75,79,2.34,GL,1702250014
354,jijiga,9.35,42.8,14.98,33,6,3.3,ET,1702250069
355,quellon,-43.1167,-73.6167,14.01,81,100,2.89,CL,1702250069
356,katima mulilo,-17.5,24.2667,21.7,82,100,0.83,NA,1702250070
357,laguna,38.421,-121.4238,16.12,56,0,2.06,US,1702250016
358,konarka,19.9,86.1167,16.22,61,0,2.63,IN,1702250070
359,grove,51.6095,-1.4219,11.2,86,75,6.69,GB,1702250071
360,meulaboh,4.1363,96.1285,24.81,90,97,0.86,ID,1702250072
361,awjilah,29.1081,21.2869,13.99,64,22,3.39,LY,1702250072
362,selibaby,15.159,-12.1829,25.52,16,5,4.81,MR,1702249775
363,newman,37.3138,-121.0208,17.13,53,100,1.79,US,1702250073
364,beau vallon,-20.4189,57.6953,25.68,75,98,5.68,MU,1702250074
